node,degree,neighbor_edges,possible_edges,closure_ratio,brokerage_score,entity_type,gender
Jean Girard,12,47,66,0.7121212121212122,0.28787878787878785,unknown,unknown
Anne femme Jean Canot,12,47,66,0.7121212121212122,0.28787878787878785,unknown,unknown
"B 8687 no 7; witch 205, Georgeatte veuve Jean Grand Didier, de la Vacherie",12,47,66,0.7121212121212122,0.28787878787878785,unknown,unknown
Girard Toussainct,8,21,28,0.75,0.25,unknown,unknown
Jean Claudon Claude,8,21,28,0.75,0.25,unknown,unknown
Jean Demenge Olry,9,28,36,0.7777777777777778,0.2222222222222222,unknown,unknown
Demenge Andreu,9,28,36,0.7777777777777778,0.2222222222222222,unknown,unknown
Francois Mongeat,9,28,36,0.7777777777777778,0.2222222222222222,unknown,unknown
Jean Grandidier,9,28,36,0.7777777777777778,0.2222222222222222,unknown,unknown
Nicolas Lambert,9,28,36,0.7777777777777778,0.2222222222222222,unknown,unknown
Nicolas Miette,9,28,36,0.7777777777777778,0.2222222222222222,unknown,unknown
"B 3753; witch 056, Claudette Clauchepied d'Epinal, arretée à Bruyères",10,36,45,0.8,0.19999999999999996,unknown,unknown
Jean Girardin Haxo de la Fosse,10,36,45,0.8,0.19999999999999996,unknown,unknown
Jean Colatte,10,36,45,0.8,0.19999999999999996,unknown,unknown
Jean Canot,10,36,45,0.8,0.19999999999999996,unknown,unknown
Thomas Forgeot,10,36,45,0.8,0.19999999999999996,unknown,unknown
Demenge Foelix,10,36,45,0.8,0.19999999999999996,unknown,unknown
Fleurent Bazelaire,10,36,45,0.8,0.19999999999999996,unknown,unknown
Jean Forgeot,10,36,45,0.8,0.19999999999999996,unknown,unknown
Jean Febuay de Reillon,10,36,45,0.8,0.19999999999999996,unknown,unknown
Mengeon Colin du Vivier,10,36,45,0.8,0.19999999999999996,unknown,unknown
Nicolas Sellier,10,36,45,0.8,0.19999999999999996,unknown,unknown
Claudon Woiriat,10,36,45,0.8,0.19999999999999996,unknown,unknown
Idoult Marie de la Chapelle,12,53,66,0.803030303030303,0.19696969696969702,unknown,unknown
Jean Gerardat,11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
Nicolas Thomas,11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
Nicolas Anthoine,11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
Nicolas Johel,11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
"B 9554 no 1; witch 331, Appoline femme Bastien Belz mineur de Ste Marie",11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
Petter Lhore,11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
Jean Prevost,11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
Margueritte veuve Claudon Estienne,11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
Chretien Brandecq,11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
Colas Collin,11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
Bertremin Flandrey,11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
Nicolas Arnoulx de Pajaille,11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
Babon femme du precedent,11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
Claude Bastien,11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
Demenge Mourel,11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
"B 7122; witch 111, Claudatte femme Nicolas du Val du Mesnil les Gircourt",11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
Alizon femme du precedent,11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
"B 3333; witch 042, Chretienne Simon, femme Demenge Fennay, de Domjevin",11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
Mengeon Regnauldin,11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
Dieudenon Claude,11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
Jean Vincent,11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
Didier Marchal,11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
Mengeon Henryat,11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
Jean Grandmont du Mesnil,11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
Elizabeth femme Jean Colat,11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
"B 3323 no 7; witch 031, Didier femme Nicolas le Vefue le Viel, de Leintrey",11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
Demenge de Nohegny,11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
Claudon Thouvenat,11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
Catherine femme Jean Jeandey,11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
"Witch 344: Vosges G563, Jehennon Colin, femme Jean Poirson, de Giriviller, 1594",11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
Nicolas Geliat,11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
Jehan Andreu,11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
Margueritte femme Demenge Bon Claude,11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
Remy Masson,11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
Stoffel Marchal,11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
Nicolas Alexis,11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
Mongeotte femme Jean Sebille,11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
Claudon Henry,11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
Jean Hellenix,11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
"Vosges G 708 no 1; witch 338, Marion femme Claudel Flandrey du Faing de Ste",11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
Didier Jean Didier,11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
Jean Cailla,11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
Demenge Vosgien,11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
Charles Conninc,11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
Mongeatte femme Colas Labbé,11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
Jean Laurent,11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
"B 8687 no 2; witch 200, Marguitte femme Jean Jacquot, de la Vacherie",11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
Nicolas Chany,11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
Nicolas Paticier,11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
Jean Cordonnier,11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
Remys Masson,11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
"B 8691 no 16; witch 227, Catherine veuve Jean Demenge, d'Anozel",11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
"B 8707 no 3; witch 255, Claude Mengeon Grivel, alias des Feignes, de Sachemont",11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
Colas Gaixotte,11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
"B 8724 no 3. Witch 303, Jean Colin de Raon",11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
Didier Wiriot,11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
Jean Vosgien,11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
Claudon Simonin,11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
Mengeon Martin,11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
"B 8717 no 6; witch 289, Jennon femme Claude Mengin de Fouchifol (commune de",11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
Mathis Jeandel,11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
"B 4094 no 2 Witch 074, La Grande Lucye",11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
Claudon Ydoulx,11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
Humbert Guidot,11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
Michiel Ratonge,11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
Nicolas Charier,11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
Michiel Godar,11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
"B 3327 no 1; witch 037, Chrestienne femme Nicolas Barret de Domjevin",11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
Beniste femme du precedent,11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
Didier Pierson,11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
Marguitte femme Symon Jacquot de Brehimont,11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
Colas Mariatte,11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
Claudin Babel,11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
Jean Danel,11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
Jean Mathieu le viel,11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
Jean Renard,11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
Demenge Drouin,11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
Nicolas Mongenan,11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
Colas Marquis,11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
"B 5327 no 1; witch 096, Colas Hardier de Mulcey",11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
Demenge Mercier,11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
Colin des Gottes,11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
Colas Henryat,11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
Jean Charton,11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
Jean Viole d'Entre-deux-Eaux,11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
Claudon Besson,11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
Claudon Gerard,11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
Vincent Henryat,11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
Jean Jacot,11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
Didier Thiebault de la Vacherie,11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
Jacques Simon,11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
Jean Forgeat,11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
Jennon femme Colin le Bourguignon,11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
Catherine femme Maurice Mongeon,11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
Claudon Bresson,11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
"B 8682 no 6; witch 184, Colatte veuve Jean le Parmentier, de Girompaire",11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
Jean Goeury,11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
"B 8708 no 3; witch 264, Marguitte veuve Jean Laurent de Brehimont",11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
"B 8691 no 13; witch 224, Catherine femme Didier Jean Charpentier, de Remémont",11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
Didier Michiel,11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
Jehenne femme du precedent,11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
Didier Henry de Fouchifol,11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
Noel Roch,11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
Pierre Grosmaire,11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
Valtin Jean Coulat,11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
"B 3335 no 3; witch 045, Babillon Cherier de Blamont",11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
Luc Reise,11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
Nicolas Jean Ferry de Dompierre,11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
Jean Demenge Villaume,11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
Jennon femme Jean Gelliat,11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
"B 2203 no 2; witch 010, Jean Parmentier, de Champegnoult",11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
"B 8708 no 6; witch 267, Claudon Jean Perrin dit Mathelon, de Brehimont",11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
Nicolas Jean Martin,11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
Jean Dauphin,11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
"B 4126 no 3 Witch 080, Claudon Martin",11,45,55,0.8181818181818182,0.18181818181818177,unknown,unknown
Mengeon le Clerc,8,23,28,0.8214285714285714,0.1785714285714286,unknown,unknown
Jean de Besmont,8,23,28,0.8214285714285714,0.1785714285714286,unknown,unknown
Jean Aulbry le vieux,10,37,45,0.8222222222222222,0.1777777777777778,unknown,unknown
Pentecoste veuve Estienne Moyne,10,37,45,0.8222222222222222,0.1777777777777778,unknown,unknown
Jean Mengin de Moyemont,14,75,91,0.8241758241758241,0.17582417582417587,unknown,unknown
Mengeon Colin de Moyemont,14,75,91,0.8241758241758241,0.17582417582417587,unknown,unknown
Claudon Mengin de Moyemont,14,75,91,0.8241758241758241,0.17582417582417587,unknown,unknown
Colas Domberat,14,75,91,0.8241758241758241,0.17582417582417587,unknown,unknown
Jean Prevost de Moyemont,14,75,91,0.8241758241758241,0.17582417582417587,unknown,unknown
Nicolle femme de Colas Noel de Moyemont,14,75,91,0.8241758241758241,0.17582417582417587,unknown,unknown
Nicolas Jean Mengin de Moyemont,14,75,91,0.8241758241758241,0.17582417582417587,unknown,unknown
Colas Gariolle,11,46,55,0.8363636363636363,0.1636363636363637,unknown,unknown
? de la Neufville,11,46,55,0.8363636363636363,0.1636363636363637,unknown,unknown
Colas Grand Didier,11,46,55,0.8363636363636363,0.1636363636363637,unknown,unknown
Didier Demenge Aulbert,11,46,55,0.8363636363636363,0.1636363636363637,unknown,unknown
Demenge Grand Didier,11,46,55,0.8363636363636363,0.1636363636363637,unknown,unknown
Nicolas Bon Demenge de Domjevin,11,46,55,0.8363636363636363,0.1636363636363637,unknown,unknown
Claudon Bastien,11,46,55,0.8363636363636363,0.1636363636363637,unknown,unknown
Valentine femme Jean Michiel,11,46,55,0.8363636363636363,0.1636363636363637,unknown,unknown
Claudon Hennemant,11,46,55,0.8363636363636363,0.1636363636363637,unknown,unknown
Claudon Charier de la Neufville,11,46,55,0.8363636363636363,0.1636363636363637,unknown,unknown
Jean Carillon,10,38,45,0.8444444444444444,0.15555555555555556,unknown,unknown
Demenge Potier,10,38,45,0.8444444444444444,0.15555555555555556,unknown,unknown
Mengeotte femme Demenge Didier le Moullot,11,47,55,0.8545454545454545,0.1454545454545455,unknown,unknown
Colatte femme Vincent Henryat,11,47,55,0.8545454545454545,0.1454545454545455,unknown,unknown
Demenge Simon de la Chapelle,11,47,55,0.8545454545454545,0.1454545454545455,unknown,unknown
Claudon Jean Simon de la Chapelle,11,47,55,0.8545454545454545,0.1454545454545455,unknown,unknown
Jean Haillant,11,49,55,0.8909090909090909,0.10909090909090913,unknown,unknown
Bastien Demenge Remy,11,49,55,0.8909090909090909,0.10909090909090913,unknown,unknown
Mongeon Bresson,8,25,28,0.8928571428571429,0.1071428571428571,unknown,unknown
Claudon Valtin de la Chapelle,11,51,55,0.9272727272727272,0.07272727272727275,unknown,unknown
Jean des Auches de la Chapelle,11,51,55,0.9272727272727272,0.07272727272727275,unknown,unknown
Jean Simon de la Chapelle,11,51,55,0.9272727272727272,0.07272727272727275,unknown,unknown
Demenge Jean Claude de la Chapelle,11,51,55,0.9272727272727272,0.07272727272727275,unknown,unknown
Claudon Jean Claude de la Chapelle,11,51,55,0.9272727272727272,0.07272727272727275,unknown,unknown
Valtin Claudon Valtin de la Chapelle,11,51,55,0.9272727272727272,0.07272727272727275,unknown,unknown
Marie femme de Cuguin Flaux de Charmes,10,45,45,1.0,0.0,unknown,unknown
Pelto Hardier dit Brayotte,10,45,45,1.0,0.0,unknown,unknown
B 8260; witch 126,3,3,3,1.0,0.0,unknown,unknown
"B 3323 no 9; Witch 033, Jennon fille feu le Petit Poirson, de Leintrey",7,21,21,1.0,0.0,unknown,unknown
Margueritte femme de Remy Phillippe de Rugney,8,28,28,1.0,0.0,unknown,unknown
Jacques Barbillon,10,45,45,1.0,0.0,unknown,unknown
Jennon femme a Colas Bandesapt de Pajaille,10,45,45,1.0,0.0,unknown,unknown
"B 8682 no 1; witch 179, Barbelline femme Holbin le Jalley, des Trois Maisons",8,28,28,1.0,0.0,unknown,unknown
Mengeotte Vassart de Haréville,8,28,28,1.0,0.0,unknown,unknown
Ysabel veuve Demenge Jean Trop du Mesnil,10,45,45,1.0,0.0,unknown,unknown
Demenge Didier Blot d'Aidoile,10,45,45,1.0,0.0,unknown,unknown
"Claudon
Hydoulx Grand Didier",10,45,45,1.0,0.0,unknown,unknown
Margueritte femme Nicolas Laurent de Raon,8,28,28,1.0,0.0,unknown,unknown
Didier François,10,45,45,1.0,0.0,unknown,unknown
Demenge Perry de Saincte Margarée,9,36,36,1.0,0.0,unknown,unknown
Colas Claude Girard de Brehimont,10,45,45,1.0,0.0,unknown,unknown
Mengeon Dion de Fouchifol,10,45,45,1.0,0.0,unknown,unknown
Claudon Xalley de Bussang,9,36,36,1.0,0.0,unknown,unknown
Thiebault Thiebault dit Patticier,10,45,45,1.0,0.0,unknown,unknown
Mengeon Didier Henryat,10,45,45,1.0,0.0,unknown,unknown
Clement d'Agincourt,10,45,45,1.0,0.0,unknown,unknown
Vincent Demenge Laurent d'Entre-deux-Eaux,10,45,45,1.0,0.0,unknown,unknown
Claudotte veuve Thiebauld Poirot,10,45,45,1.0,0.0,unknown,unknown
Claudon du Haut,10,45,45,1.0,0.0,unknown,unknown
Jacquot Colas le Maire,10,45,45,1.0,0.0,unknown,unknown
"told him that Fleuratte had said she could
have cured the child. Had also been i",10,45,45,1.0,0.0,unknown,unknown
Chrestienne femme Alixy Domballe paticier de Rozieres,5,10,10,1.0,0.0,unknown,unknown
Margueritte veuve Jean Husson des Petites Rosieres,9,36,36,1.0,0.0,unknown,unknown
"B 8726 no 3; witch 308, Colatte veuve Colas de la Ruelle alias Girey, de la Bourgonce",7,21,21,1.0,0.0,unknown,unknown
Bernard Viry de Brouvelieures,10,45,45,1.0,0.0,unknown,unknown
Claudon Jean Claude,10,45,45,1.0,0.0,unknown,unknown
Colas Saulsatte,7,21,21,1.0,0.0,unknown,unknown
Noel Perrin,10,45,45,1.0,0.0,unknown,unknown
Nicolas Goudot de Domjevin,10,45,45,1.0,0.0,unknown,unknown
Claudon Crolbesner,10,45,45,1.0,0.0,unknown,unknown
Claude Pierrat,7,21,21,1.0,0.0,unknown,unknown
Mengeon Jeandel de Haillieulle,10,45,45,1.0,0.0,unknown,unknown
"B 8735 no 5; witch 312, Margueritte Jean Symon jeune fille de Raon",9,36,36,1.0,0.0,unknown,unknown
Demenge Piernille portier de Raon,10,45,45,1.0,0.0,unknown,unknown
Honn Homme Diey Bretaulx,10,45,45,1.0,0.0,unknown,unknown
Claude Mathis de Fouchifol,10,45,45,1.0,0.0,unknown,unknown
Le maire Colas Brouvellant,10,45,45,1.0,0.0,unknown,unknown
Claudon Thoussainct,3,3,3,1.0,0.0,unknown,unknown
Mengeatte fille de feu Anthoine Abzey,10,45,45,1.0,0.0,unknown,unknown
Marguitte femme à Jean Mengin,10,45,45,1.0,0.0,unknown,unknown
Adam fils Jean Didier Jacquemin,10,45,45,1.0,0.0,unknown,unknown
"Witch 158: B8677 no 4, Meline veuve Martin Gentilhomme de St Dié",7,21,21,1.0,0.0,unknown,unknown
Jean Godat,10,45,45,1.0,0.0,unknown,unknown
Francois Berniquet,10,45,45,1.0,0.0,unknown,unknown
Magdelaine femme Colas Cointzelin,10,45,45,1.0,0.0,unknown,unknown
Claude Dieudenon,10,45,45,1.0,0.0,unknown,unknown
Lienard Jean Lienard echevin de Moriviller,10,45,45,1.0,0.0,unknown,unknown
Mengin Jenin,8,28,28,1.0,0.0,unknown,unknown
Catherine femme à Claudon Mathieu de la Neuveville,9,36,36,1.0,0.0,unknown,unknown
Nicolas Mongeron,10,45,45,1.0,0.0,unknown,unknown
Annon femme Mengin Regnault le jeune,5,10,10,1.0,0.0,unknown,unknown
Colas Jean Jaclin,10,45,45,1.0,0.0,unknown,unknown
Mengeotte femme Girard Franceon du Mesnil,10,45,45,1.0,0.0,unknown,unknown
Anne femme Nicolas Recouvreur,9,36,36,1.0,0.0,unknown,unknown
Marguerite veuve Claude Hersault,10,45,45,1.0,0.0,unknown,unknown
Jehennon femme Demenge de Mortaigne de la Bolle,9,36,36,1.0,0.0,unknown,unknown
Claudotte femme Didier Vaultrin,10,45,45,1.0,0.0,unknown,unknown
Thiery Racine de Rozieres,7,21,21,1.0,0.0,unknown,unknown
B 4495; witch 082,3,3,3,1.0,0.0,unknown,unknown
Marie femme Nicolas Lesclaire charpentier de Raon,10,45,45,1.0,0.0,unknown,unknown
Claudon de Benamesnil,10,45,45,1.0,0.0,unknown,unknown
Jean Baxot,10,45,45,1.0,0.0,unknown,unknown
Renée fille du precedent,10,45,45,1.0,0.0,unknown,unknown
Claudon Chavortey,9,36,36,1.0,0.0,unknown,unknown
"Mathiatte Vatin testified again (see 1)
(13) Chrestien Brabant de la Neufville",10,45,45,1.0,0.0,unknown,unknown
Blaison Vit,10,45,45,1.0,0.0,unknown,unknown
"Witch 283; B 8715 no 6, Annon femme Jean Clauderat de Raon",5,10,10,1.0,0.0,unknown,unknown
Barbe femme Faulhanns,10,45,45,1.0,0.0,unknown,unknown
Margueritte veuve Jean Husson,10,45,45,1.0,0.0,unknown,unknown
Mengeon Valentin de Saincte Margarée,9,36,36,1.0,0.0,unknown,unknown
femme Demenge Fennay,3,3,3,1.0,0.0,unknown,unknown
Witch 343; Dumont,4,6,6,1.0,0.0,unknown,unknown
Perin le Charpentier,10,45,45,1.0,0.0,unknown,unknown
Anne femme Jean Regnauldin,10,45,45,1.0,0.0,unknown,unknown
Jean Menginot d'Entre-deux-Eaux,10,45,45,1.0,0.0,unknown,unknown
Toussainct Didier Pierat de Develine,10,45,45,1.0,0.0,unknown,unknown
Jennon femme de Dieudonne Alix de Girecourt,6,15,15,1.0,0.0,unknown,unknown
Gratian Doridant,10,45,45,1.0,0.0,unknown,unknown
Bastienne femme Didier Regnaudin,10,45,45,1.0,0.0,unknown,unknown
Jehannon femme Nicolas Gergonne,10,45,45,1.0,0.0,unknown,unknown
Claudin Burthecourt,10,45,45,1.0,0.0,unknown,unknown
"Didielle femme Anthoine du Bru
Lost a pig in strange fashion 9 years earlier - a",7,21,21,1.0,0.0,unknown,unknown
Jean Chenal de Grattain,10,45,45,1.0,0.0,unknown,unknown
Demenge Marchal jeune fils,10,45,45,1.0,0.0,unknown,unknown
Jennon femme Nicolas Jean de Flin,10,45,45,1.0,0.0,unknown,unknown
Thiebault Robert,10,45,45,1.0,0.0,unknown,unknown
Baptiste Florentin,10,45,45,1.0,0.0,unknown,unknown
"Damaged.
(7) Nicolas Moullot",10,45,45,1.0,0.0,unknown,unknown
Claudon Colas Colin du Vivier,10,45,45,1.0,0.0,unknown,unknown
Jean Dieudenon de Reillon,10,45,45,1.0,0.0,unknown,unknown
Jean de Barrois bourgeois du Grand Rombach,6,15,15,1.0,0.0,unknown,unknown
Noel Parisot,10,45,45,1.0,0.0,unknown,unknown
Jean du Bois de Reillon,9,36,36,1.0,0.0,unknown,unknown
Margueritte femme Diez Thomas,10,45,45,1.0,0.0,unknown,unknown
Jean Reguard,10,45,45,1.0,0.0,unknown,unknown
Pierratte fille Henry Colas,10,45,45,1.0,0.0,unknown,unknown
Nicolas Gentilhomme bourgeois de St. Dié,7,21,21,1.0,0.0,unknown,unknown
"B 8535 no 2; witch 134, Ydatte veuve Demenge Moyne, de Rozieres",5,10,10,1.0,0.0,unknown,unknown
Jennon femme René Ganard,10,45,45,1.0,0.0,unknown,unknown
Claude Ferquel,10,45,45,1.0,0.0,unknown,unknown
Marguerite veuve Demenge Jacquemin,10,45,45,1.0,0.0,unknown,unknown
Mengeon Girompaire,10,45,45,1.0,0.0,unknown,unknown
Mengeon le Duc d'Aidoile,10,45,45,1.0,0.0,unknown,unknown
Bietrix jeune fille a Colin Gillet,10,45,45,1.0,0.0,unknown,unknown
Françoise veuve Demenge Maillard,10,45,45,1.0,0.0,unknown,unknown
Martinotte femme Claude Potier de Girecourt,10,45,45,1.0,0.0,unknown,unknown
Jacot Bergier Bourgeois du Viel Marché,10,45,45,1.0,0.0,unknown,unknown
Demenge Jean Didier,10,45,45,1.0,0.0,unknown,unknown
Nickels Petter,7,21,21,1.0,0.0,unknown,unknown
Mongeon Jacat de la Neufville,10,45,45,1.0,0.0,unknown,unknown
Simon Hougney,5,10,10,1.0,0.0,unknown,unknown
Margueritte femme George Jean le Clerc,10,45,45,1.0,0.0,unknown,unknown
Claudon Robert de Brantigny,10,45,45,1.0,0.0,unknown,unknown
Jean de la Haye,10,45,45,1.0,0.0,unknown,unknown
Nicolas Connat demeurant à Monsey,10,45,45,1.0,0.0,unknown,unknown
Jean Alloffs,10,45,45,1.0,0.0,unknown,unknown
Mengin Couillot,10,45,45,1.0,0.0,unknown,unknown
Synnelle femme Gaspar Cherrier,10,45,45,1.0,0.0,unknown,unknown
Claudon du Haud,10,45,45,1.0,0.0,unknown,unknown
"B 8684 no 4; Witch 191, Jean fils Demenge Arnoulx de Sauceray",6,15,15,1.0,0.0,unknown,unknown
Honn homme Remy Dieudonné,10,45,45,1.0,0.0,unknown,unknown
Henry Finance de Mandray,10,45,45,1.0,0.0,unknown,unknown
Jacquotte femme Mengeon Martin,9,36,36,1.0,0.0,unknown,unknown
Anne fille Claudon Hosel boulangier de St Nicolas,10,45,45,1.0,0.0,unknown,unknown
Catherine fille Georgeon le Masson,6,15,15,1.0,0.0,unknown,unknown
Colas St Remy,7,21,21,1.0,0.0,unknown,unknown
Demenge Didier Grand Colin jeune fils d'Entre-deux-Eaux,10,45,45,1.0,0.0,unknown,unknown
Anne femme François des Rivaulx,10,45,45,1.0,0.0,unknown,unknown
Claudette femme Jean Didier le Marchal de Combrimont,7,21,21,1.0,0.0,unknown,unknown
Martin Jean Gabourel,10,45,45,1.0,0.0,unknown,unknown
Toussaine femme Arbin Beustal,5,10,10,1.0,0.0,unknown,unknown
Claudin Joly,10,45,45,1.0,0.0,unknown,unknown
"Barbe femme Demenge le Maire
Reputation more than 20 years as witch",10,45,45,1.0,0.0,unknown,unknown
Jean La Bolle,10,45,45,1.0,0.0,unknown,unknown
Didon fille Jean Saulnier,9,36,36,1.0,0.0,unknown,unknown
B 3323 no 4; witch 028,3,3,3,1.0,0.0,unknown,unknown
Barbe Sellier,5,10,10,1.0,0.0,unknown,unknown
Michiel Battaille,10,45,45,1.0,0.0,unknown,unknown
"Barbe Wathot
Had been her servant for 5 years",5,10,10,1.0,0.0,unknown,unknown
Claudin Haman,10,45,45,1.0,0.0,unknown,unknown
Claude Mourchat de Moyenmoutier,10,45,45,1.0,0.0,unknown,unknown
George Guirien de Reillon,10,45,45,1.0,0.0,unknown,unknown
Ysambart Vieulx Maire,7,21,21,1.0,0.0,unknown,unknown
Jehenne femme Jean Dieudegnon de Reillon,10,45,45,1.0,0.0,unknown,unknown
Jean le Compain autrement Jean Didier du Souche,9,36,36,1.0,0.0,unknown,unknown
Laurent Hoch d'Angviller,10,45,45,1.0,0.0,unknown,unknown
